"ID","NAME","DESCRIPTION","IID"
"CCEX","CCEX","CASPY COMMODITY EXCHANGE",340
"CCFE","CCFE","CHICAGO CLIMATE FUTURES EXCHANGE",341
"CCFX","CCFX","CHINA FINANCIAL FUTURES EXCHANGE",342
"CCLX","CCLX","FINESTI S.A.",343
"CCML","CCML","CONTINENTAL CAPITAL MARKETS LIMITED - OTF",344
"CCMS","CCMS","CONTINENTAL CAPITAL MARKETS S.A.",345
"CCMX","CCMX","CARTAX",346
"CCO2","CCO2","CANTORCO2E.COM LIMITED",347
"CCRM","CCRM","CBOE EUROPE REGULATED MARKETS (NL)",348
"CCXE","CCXE","CBOE EUROPE EQUITIES - EUROPEAN EQUITIES (NL)",349
"CDED","CDED","CITADEL SECURITIES",350
"CDEL","CDEL","CITADEL SECURITIES ATS",351
"CDSI","CDSI","CREDIT SUISSE (DEUTSCHLAND) AG - SYSTEMATIC INTERNALISER",352
"CDSL","CDSL","CLEARCORP DEALING SYSTEMS (INDIA) LTD.",353
"CECA","CECA","CECABANK - SYSTEMATIC INTERNALISER",354
"CECS","CECS","CME SWAPS MARKETS (COMEX)",355
"CEDX","CEDX","CBOE EUROPE DERIVATIVES",356
"CELP","CELP","ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - OTHER LIQUIDITY PROVIDER (OLP)",357
"CEPL","CEPL","CITIBANK EUROPE PLC - SYSTEMATIC INTERNALISER",358
"CEPU","CEPU","CITIBANK EUROPE PLC - LONDON BRANCH",359
"CESI","CESI","ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S. - SYSTEMATIC INTERNALISER",360
"CETI","CETI","CETIP S.A. - MERCADOS ORGANIZADOS",361
"CETO","CETO","BONDSPOT S.A.",362
"CEUD","CEUD","CBOE EUROPE - DXE DARK ORDER BOOK (NL)",363
"CEUE","CEUE","CBOE EUROPE - CXE ORDER BOOKS (NL)",364
"CEUO","CEUO","CBOE EUROPE - DXE OFF-BOOK (NL)",365
"CEUX","CEUX","CBOE EUROPE - DXE ORDER BOOKS (NL)",366
"CFAU","CFAU","CROSSFINDER AUSTRALIA",367
"CFBC","CFBC","CHINA FOREIGN EXCHANGE TRADE SYSTEM - SHANGHAI - HONG KONG BOND CONNECT",368
"CFHK","CFHK","CROSSFINDER HONG KONG",369
"CFIC","CFIC","CHINAFICC",370
"CFIF","CFIF","CREDIT FINANCIER INVEST (CFI) LTD",371
"CFIL","CFIL","CANTOR FITZGERALD IRELAND LIMITED",372
"CFJP","CFJP","CROSSFINDER JAPAN",373
"CFTW","CFTW","CROSSFINDER TAIWAN",374
